TREEPAIR_2000_35_90_04, k=95, t=156.2689511
TREEPAIR_2000_35_90_05, k=83, t=86.8738601
TREEPAIR_2500_35_50_01, k=74, t=119.9130854
TREEPAIR_2500_35_50_02, k=68, t=100.4078268
TREEPAIR_2500_35_50_03, k=68, t=99.4321966
TREEPAIR_2500_35_50_04, k=68, t=95.9220834
TREEPAIR_2500_35_50_05, k=65, t=89.8952279
TREEPAIR_2500_35_70_01, k=74, t=116.5511141
TREEPAIR_2500_35_70_02, k=83, t=150.8581792
TREEPAIR_2500_35_70_03, k=84, t=170.0555835
TREEPAIR_2500_35_70_04, k=87, t=130.4851462
TREEPAIR_2500_35_70_05, k=78, t=114.4626796
TREEPAIR_2500_35_90_01, k=84, t=249.1530185
TREEPAIR_2500_35_90_02, k=125, t=212.2867264
TREEPAIR_2500_35_90_03, k=84, t=157.0737733
TREEPAIR_2500_35_90_04, k=96, t=103.6735525
TREEPAIR_2500_35_90_05, k=91, t=137.2425655
TREEPAIR_3000_35_50_01, k=88, t=148.4780737
TREEPAIR_3000_35_50_02, k=67, t=107.9114554
TREEPAIR_3000_35_50_03, k=72, t=102.9493182
TREEPAIR_3000_35_50_04, k=74, t=103.4329847
TREEPAIR_3000_35_50_05, k=81, t=115.4976518
TREEPAIR_3000_35_70_01, k=79, t=214.6520714
TREEPAIR_3000_35_70_02, k=96, t=161.242283
TREEPAIR_3000_35_70_03, k=101, t=143.1322397
TREEPAIR_3000_35_70_04, k=75, t=110.6039754
TREEPAIR_3000_35_70_05, k=87, t=98.5433303
TREEPAIR_3000_35_90_01, k=103, t=118.5408894
TREEPAIR_3000_35_90_02, k=107, t=124.8409404
TREEPAIR_3000_35_90_03, k=107, t=292.9695066
TREEPAIR_3000_35_90_04, k=81, t=123.9867766
TREEPAIR_3000_35_90_05, k=99, t=114.4776774
